pct_fragments	fragments_clade	fragments_direct	minimizers	distinct_minimizers	rank_code	taxid	name	sample	is_host	total_distinct_minimizers_non_host	minimizer_proportion_sample	db_pct	db_clade_minimizers	db_taxon_minimizers	db_rank_code	db_name	genome_coverage_estimate	taxon_mean_prop	taxon_sd_prop	n_samples_with_taxon	z_score	p_value	fdr
0.01	5.0	5.0	20.0	16.0	S	2663857	Nocardioides marmotae	CasClinique10_ADN	False	16069.0	0.0009957060177982451	0.01	1016563.0	1016563.0	S	Nocardioides marmotae	1.5739309811590624e-05	0.0004144007400006197	0.0005099673312477774	3.0	1.1398872872411254	0.12716663101695924	0.6893265565438373
0.0	1.0	1.0	9.0	7.0	S	2766526	Salinarimonas sp.	CasClinique10_ADN	False	16069.0	0.00043562138278673224	0.01	1366102.0	1366102.0	S	Salinarimonas sp.	5.12406833457531e-06	0.00019231906962928502	0.00021364138419688222	3.0	1.1388351281848597	0.12738596356795562	0.6893265565438373
0.0	1.0	1.0	6.0	5.0	S	675864	Auraticoccus monumenti	CasClinique10_ADN	False	16069.0	0.00031115813056195157	0.01	1243998.0	1243998.0	S	Auraticoccus monumenti	4.019299066397213e-06	0.00014372716253426875	0.00014707766788418168	3.0	1.1383847081361709	0.12747993828564508	0.6893265565438373
0.0	1.0	1.0	1.0	1.0	S	3023517	Brachybacterium sp. GPGPB12	CasClinique10_ADN	False	16069.0	6.223162611239032e-05	0.0	532832.0	532832.0	S	Brachybacterium sp. GPGPB12	1.8767641583088102e-06	5.018095179248319e-05	1.0595621430891793e-05	3.0	1.137325866019816	0.12770104277679262	0.6893265565438373
0.0	3.0	3.0	22.0	11.0	S	3108391	Altererythrobacter sp. H2	CasClinique10_ADN	False	16069.0	0.0006845478872362935	0.0	856489.0	856489.0	S	Altererythrobacter sp. H2	1.2843130501384139e-05	0.00029653158777431983	0.00034138160982580387	3.0	1.1366057464547257	0.1278515683681073	0.6893265565438373
0.0	3.0	3.0	38.0	29.0	S	2202828	Methylobacterium radiodurans	CasClinique10_ADN	False	16069.0	0.0018047171572593192	0.01	1397714.0	1397714.0	S	Methylobacterium radiodurans	2.0748164502895442e-05	0.0007971860782582284	0.0008882813820616666	3.0	1.1342476599730709	0.12834533864914355	0.6893265565438373
0.0	2.0	2.0	22.0	18.0	S	3095075	Nocardioides renjunii	CasClinique10_ADN	False	16069.0	0.0011201692700230257	0.01	1069963.0	1069963.0	S	Nocardioides renjunii	1.6823011636850993e-05	0.0006923977609808435	0.00037733684329370427	3.0	1.1336595316488125	0.128468695484383	0.6893265565438373
0.02	11.0	11.0	71.0	57.0	S	2933797	Blastococcus sp. PRF04-17	CasClinique10_ADN	False	16069.0	0.003547202688406248	0.01	1197068.0	1197068.0	S	Blastococcus sp. PRF04-17	4.7616342597078866e-05	0.0015690534712306944	0.0017522188868572997	3.0	1.1289395588718214	0.12946166573746232	0.6893265565438373
0.0	1.0	1.0	5.0	4.0	S	1437009	Chenggangzhangella methanolivorans	CasClinique10_ADN	False	16069.0	0.0002489265044495613	0.01	1542034.0	1542034.0	S	Chenggangzhangella methanolivorans	2.593976527106406e-06	0.00011948590716246018	0.00011604465209062346	3.0	1.1154378504751452	0.13233141860516084	0.6893265565438373
0.0	1.0	1.0	8.0	8.0	S	3121287	Defluviimonas sp. SAOS-178_SWC	CasClinique10_ADN	False	16069.0	0.0004978530088991226	0.01	1219499.0	1219499.0	S	Defluviimonas sp. SAOS-178_SWC	6.560070979968004e-06	0.00023771253869309298	0.00023357269319521708	3.0	1.113745218447293	0.1326942522174066	0.6893265565438373
0.0	1.0	1.0	16.0	14.0	S	34002	Paracoccus alcaliphilus	CasClinique10_ADN	False	16069.0	0.0008712427655734645	0.01	1192246.0	1192246.0	S	Paracoccus alcaliphilus	1.1742543065776693e-05	0.00041275428585675703	0.0004127636682047084	3.0	1.1107772195912409	0.1333321271686978	0.6893265565438373
0.0	2.0	2.0	6.0	3.0	S	712122	Actinomyces sp. oral taxon 414	CasClinique10_ADN	False	16069.0	0.00018669487833717095	0.0	934682.0	934682.0	S	Actinomyces sp. oral taxon 414	3.2096477732533633e-06	0.0001046393299586997	7.418204122733984e-05	3.0	1.1061376449186955	0.13433347350316605	0.6893265565438373
0.0	1.0	1.0	5.0	4.0	S	861299	Gemmatirosa kalamazoonensis	CasClinique10_ADN	False	16069.0	0.0002489265044495613	0.01	1954228.0	1954228.0	S	Gemmatirosa kalamazoonensis	2.0468440734653274e-06	0.00013362488735997372	0.0001042597039607333	3.0	1.105907773659255	0.13438321988635282	0.6893265565438373
0.0	1.0	1.0	5.0	5.0	S	1707785	Massilia sp. WG5	CasClinique10_ADN	False	16069.0	0.00031115813056195157	0.01	1515918.0	1515918.0	S	Massilia sp. WG5	3.298331440091087e-06	0.0001625519074267182	0.0001343966161080725	3.0	1.105728904779377	0.1344219376068876	0.6893265565438373
0.01	4.0	4.0	19.0	15.0	S	2894081	Nocardioides okcheonensis	CasClinique10_ADN	False	16069.0	0.0009334743916858548	0.01	1071871.0	1071871.0	S	Nocardioides okcheonensis	1.3994221319543116e-05	0.00044082278253754274	0.0004529742613351702	3.0	1.0875929411445815	0.1383874241704124	0.6893265565438373
0.05	32.0	32.0	469.0	345.0	S	2017486	Nocardioides sp. S5	CasClinique10_ADN	False	16069.0	0.02146991100877466	0.01	1119427.0	1119427.0	S	Nocardioides sp. S5	0.0003081933882245113	0.009776412386804255	0.010758948318948339	3.0	1.0868626073215877	0.1385487669351888	0.6893265565438373
0.0	3.0	3.0	12.0	10.0	S	364199	Paracoccus homiensis	CasClinique10_ADN	False	16069.0	0.0006223162611239031	0.0	849205.0	849205.0	S	Paracoccus homiensis	1.1775719643666723e-05	0.00034039111590280683	0.00026265917787246073	3.0	1.0733496826750542	0.14155712579555235	0.6893265565438373
0.0	2.0	2.0	16.0	12.0	S	1077935	Paracoccus zhejiangensis	CasClinique10_ADN	False	16069.0	0.0007467795133486838	0.01	1184589.0	1184589.0	S	Paracoccus zhejiangensis	1.0130095754730121e-05	0.00036797882489591544	0.00035522194402544415	3.0	1.0663774995433144	0.14312651437231894	0.6893265565438373
