sample	reference	mapq_min	read_count	neg_read_count	z_score	p_value	gtdb_taxonomy	ncbi_taxid
MG-Run35-Ech-5	GCF_002564555.1	25	11	0	14.849242404917497	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_K	1396.0
MG-Run35-Ech-5	GCF_900156515.1	25	10	0	13.435028842544401	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella cuniculi	34061.0
MG-Run35-Ech-5	GCF_018127925.1	25	9	0	12.020815280171307	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica_C	28132.0
MG-Run35-Ech-5	GCF_030515985.1	25	9	0	12.020815280171307	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp022346005	2918194.0
MG-Run35-Ech-5	GCF_000420505.1	25	8	0	10.606601717798211	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens	419015.0
MG-Run35-Ech-5	GCF_003942795.1	25	7	0	9.192388155425117	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BJ	28037.0
MG-Run35-Ech-5	GCF_938018165.1	25	7	0	9.192388155425117	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga leadbetteri_A	327575.0
MG-Run35-Ech-5	GCF_003243515.1	25	6	23	-3.6099743619057767	0.9998468863642063	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium kroppenstedtii_B	161879.0
MG-Run35-Ech-5	GCF_019458035.1	25	6	0	7.7781745930520225	3.6637359812630166e-15	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_BP	1303.0
MG-Run35-Ech-5	GCF_002195995.1	25	6	0	7.7781745930520225	3.6637359812630166e-15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__DSM-16000;f__Inquilinaceae;g__Inquilinus;s__Inquilinus limosus_C	171674.0
