sample	taxid	name	cub_pct_fragments	cub_fragments_clade	cub_fragments_direct	cub_minimizers	cub_distinct_minimizers	cub_rank_code	cub_is_host	cub_total_distinct_minimizers_non_host	cub_minimizer_proportion_sample	cub_neg_control_prop	cub_signal_over_neg	cub_db_pct	cub_db_clade_minimizers	cub_db_taxon_minimizers	cub_db_rank_code	cub_db_name	cub_genome_coverage_estimate	cub_taxon_mean_prop	cub_taxon_sd_prop	cub_n_samples_with_taxon	cub_z_score	cub_p_value	cub_fdr	cub_z_score_neg	cub_p_value_neg	cub_fdr_neg	sample_right	taxid_right	gtdb_taxonomy	bam_reference	bam_mapq_min	bam_read_count	bam_neg_read_count	bam_z_score	bam_p_value	bam_ncbi_taxid
MG-Run35-Ech-12	2954021	Wolbachia endosymbiont (group B) of Ischnura elegans	0.0	1.0	1.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	24175.0	24175.0	S	Wolbachia endosymbiont (group B) of Ischnura elegans	0.00004136504653567735	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	52764	Bartonella alsatica	0.0	1.0	1.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	401257.0	401257.0	S	Bartonella alsatica	2.4921683609257905e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	39645	Mesorhizobium ciceri	0.0	1.0	0.0	6.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1078590.0	667043.0	S	Mesorhizobium ciceri	1.4991537277207017e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2020412	Bosea sp. ANAM02	0.0	4.0	4.0	7.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1293754.0	1293754.0	S	Bosea sp. ANAM02	7.729444701233774e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	1842539	Bosea sp. RAC05	0.0	4.0	4.0	11.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	881977.0	881977.0	S	Bosea sp. RAC05	1.1338164147137624e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	400770	Devosia ginsengisoli	0.0	1.0	1.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1229222.0	1229222.0	S	Devosia ginsengisoli	8.135226997238904e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3026418	Devosia algicola	0.0	8.0	8.0	19.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1065785.0	1065785.0	S	Devosia algicola	9.38275543378824e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	120577	Brucella ceti	0.0	2.0	2.0	627.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	29387.0	27586.0	S	Brucella ceti	0.00003625027187703908	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	650377	endosymbiont of Euscepes postfasciatus	0.0	2.0	2.0	19.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	19319.0	19319.0	S	endosymbiont of Euscepes postfasciatus	0.00005176251358765982	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2652803	Candidatus Azoamicus ciliaticola	0.0	2.0	2.0	6.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	55557.0	55557.0	S	Candidatus Azoamicus ciliaticola	0.000017999532012167683	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
